#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2013-08-18-20-48-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	server_name	session_id	subject	issuer_subject	not_valid_before	not_valid_after	last_alert	client_subject	client_issuer_subject
#types	time	string	addr	port	addr	port	string	string	string	string	string	string	time	time	string	string	string
1376873307.829461	LrGqDY60N18	172.20.10.5	61047	76.74.254.123	443	TLSv11	TLS_ECDHE_RSA_WITH_RC4_128_SHA	public-api.wordpress.com	a8a366ebcd448b82a916abe426bc8bbcad87ce1a73997e098a3ae06d6e34a073	CN=*.wordpress.com,OU=Domain Control Validated,O=*.wordpress.com	serialNumber=07969287,CN=Go Daddy Secure Certification Authority,OU=http://certificates.godaddy.com/repository,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US	1287070166.000000	1444836566.000000	-	-	-
1376873308.321029	j10pek87Jfd	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61048	2607:f8b0:4009:802::1010	443	TLSv11	TLS_ECDHE_RSA_WITH_RC4_128_SHA	www.google.com	64b5f2dd4f9e512f8466b42c564e3abf0a1726b88f42253612c59ec9a1bf154c	-	-	-	-	-	-	-
1376873308.324788	4MBvemST1Al	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61050	2607:f8b0:4009:801::100f	443	TLSv11	TLS_ECDHE_ECDSA_WITH_RC4_128_SHA	ssl.gstatic.com	36710468a5bb5b53a893845bed9e00e351c30690072b5caccab1f44272644fdf	-	-	-	-	-	-	-
1376873308.540698	UTxZ7aebjmg	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61051	2607:f8b0:4009:802::1010	443	TLSv11	TLS_ECDHE_RSA_WITH_RC4_128_SHA	www.google.com	64b5f2dd4f9e512f8466b42c564e3abf0a1726b88f42253612c59ec9a1bf154c	-	-	-	-	-	-	-
1376873308.567475	APWO3xW2yo6	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61052	2607:f8b0:4009:802::1010	443	TLSv11	TLS_ECDHE_RSA_WITH_RC4_128_SHA	www.google.com	64b5f2dd4f9e512f8466b42c564e3abf0a1726b88f42253612c59ec9a1bf154c	-	-	-	-	-	-	-
1376873308.321500	HOAbF9miwJ3	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61049	2607:f8b0:4009:801::100c	443	TLSv11	TLS_ECDHE_ECDSA_WITH_RC4_128_SHA	lh3.googleusercontent.com	-	CN=*.googleusercontent.com,O=Google Inc,L=Mountain View,ST=California,C=US	CN=Google Internet Authority,O=Google Inc,C=US	1375285234.000000	1383278399.000000	-	-	-
1376873311.328186	XXdFTPhg9f6	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61055	2606:2800:220:bf1:95:a65:51f:1a94	443	TLSv11	TLS_RSA_WITH_RC4_128_SHA	0.gravatar.com	892d04db64416d0af65c58e3df99a31ffd725346aae66cb483531bded43ccdec	CN=*.gravatar.com,OU=Domain Control Validated,O=*.gravatar.com	serialNumber=07969287,CN=Go Daddy Secure Certification Authority,OU=http://certificates.godaddy.com/repository,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US	1287069851.000000	1444836251.000000	-	-	-
1376873311.346978	mOrExl6lk6d	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61057	2606:2800:220:bf1:95:a65:51f:1a94	443	TLSv11	TLS_RSA_WITH_RC4_128_SHA	0.gravatar.com	892d04db64416d0af65c58e3df99a31ffd725346aae66cb483531bded43ccdec	CN=*.gravatar.com,OU=Domain Control Validated,O=*.gravatar.com	serialNumber=07969287,CN=Go Daddy Secure Certification Authority,OU=http://certificates.godaddy.com/repository,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US	1287069851.000000	1444836251.000000	-	-	-
1376873312.504888	Z63EKZHBhk9	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61063	2606:2800:220:bf1:95:a65:51f:1a94	443	TLSv11	TLS_RSA_WITH_RC4_128_SHA	2.gravatar.com	25b9e19367f078289c4683b44d4467f21d2c360b1086f106911b078a4e7a5f7a	CN=*.gravatar.com,OU=Domain Control Validated,O=*.gravatar.com	serialNumber=07969287,CN=Go Daddy Secure Certification Authority,OU=http://certificates.godaddy.com/repository,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US	1287069851.000000	1444836251.000000	-	-	-
1376873312.514640	UwhvRjnGza1	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61066	2606:2800:220:bf1:95:a65:51f:1a94	443	TLSv11	TLS_RSA_WITH_RC4_128_SHA	2.gravatar.com	25b9e19367f078289c4683b44d4467f21d2c360b1086f106911b078a4e7a5f7a	CN=*.gravatar.com,OU=Domain Control Validated,O=*.gravatar.com	serialNumber=07969287,CN=Go Daddy Secure Certification Authority,OU=http://certificates.godaddy.com/repository,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US	1287069851.000000	1444836251.000000	-	-	-
1376873312.515650	4YqcXav06pl	2600:1009:b024:bcfb:e4ec:b13f:c315:4a42	61067	2606:2800:220:bf1:95:a65:51f:1a94	443	TLSv11	TLS_RSA_WITH_RC4_128_SHA	2.gravatar.com	25b9e19367f078289c4683b44d4467f21d2c360b1086f106911b078a4e7a5f7a	CN=*.gravatar.com,OU=Domain Control Validated,O=*.gravatar.com	serialNumber=07969287,CN=Go Daddy Secure Certification Authority,OU=http://certificates.godaddy.com/repository,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US	1287069851.000000	1444836251.000000	-	-	-
